iso_o,iso_d,year,FLOW,SOURCE_TF,XPTOT_o,IPTOT_o,XPTOT_d,IPTOT_d
PRT,IND,1962,250000.11,DOTS_IP,1.5024293e+08,2.0888749e+08,5.0493523e+08,8.254289e+08
PRT,IRL,1962,428571.62,DOTS_IP,1.5024293e+08,2.0888749e+08,1.7730008e+08,2.726787e+08
PRT,IRN,1962,142857.2,DOTS_IP,1.5024293e+08,2.0888749e+08,3.5929693e+08,1.8592866e+08
PRT,IRQ,1962,464285.9,DOTS_IP,1.5024293e+08,2.0888749e+08,2.8052512e+08,1.2717862e+08
PRT,ISL,1962,71428.6,DOTS_IP,1.5024293e+08,2.0888749e+08,2.9928584e+07,3.1785728e+07
PRT,ISR,1962,1.535715e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,9.921433e+07,2.267501e+08
PRT,ITA,1962,6.6785745e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,1.6643935e+09,2.1398938e+09
PRT,JAM,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,7.784646e+07,7.9607176e+07
PRT,JOR,1962,178571.5,DOTS_IP,1.5024293e+08,2.0888749e+08,4.8928595e+06,4.5214304e+07
PRT,JPN,1962,1.6428579e+06,DOTS_IP,1.5024293e+08,2.0888749e+08,1.6871078e+09,1.8947508e+09
PRT,KEN,1962,107142.91,DOTS_IP,1.5024293e+08,2.0888749e+08,4.465002e+07,9.025004e+07
PRT,KHM,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.942858e+07,3.6535732e+07
PRT,KIR,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,436071.62,
PRT,KNA,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,,2.500001e+06
PRT,KOR,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.9957152e+07,1.702793e+08
PRT,KWT,1962,71428.6,DOTS_XP,1.5024293e+08,2.0888749e+08,5.1027165e+08,8.26429e+07
PRT,LAO,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,175357.22,1.0496076e+07
PRT,LBN,1962,392857.3,DOTS_XP,1.5024293e+08,2.0888749e+08,4.5035732e+07,1.1407862e+08
PRT,LBR,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,3.635716e+07,7.0571464e+07
PRT,LBY,1962,178571.5,DOTS_IP,1.5024293e+08,2.0888749e+08,5.319288e+07,7.628542e+07
PRT,LCA,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.5920792e+06,3.4887445e+06
PRT,LKA,1962,71428.6,DOTS_XP,1.5024293e+08,2.0888749e+08,1.323572e+08,1.24000056e+08
PRT,LSO,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,1.7857151e+06,7.1428605e+06
PRT,LUX,1962,203571.52,COW,1.5024293e+08,2.0888749e+08,,
PRT,MAC,1962,142857.2,DOTS_XP,1.5024293e+08,2.0888749e+08,6.8214315e+06,1.346072e+07
PRT,MAR,1962,964286.1,DOTS_IP,1.5024293e+08,2.0888749e+08,1.4112578e+08,1.5246435e+08
PRT,MDG,1962,71428.6,DOTS_XP,1.5024293e+08,2.0888749e+08,3.37143e+07,4.3464304e+07
PRT,MDV,1962,0.0,DOTS_IP,1.5024293e+08,2.0888749e+08,743775.3,1.1667862e+06
PRT,MEX,1962,428571.62,DOTS_IP,1.5024293e+08,2.0888749e+08,3.7249302e+08,4.1921446e+08
